ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,CALUROMYINAE,NA/ND,"Caluromys derbianus (Waterhouse, 1841)",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,MARMOSINI,"Marmosa alstoni (J. A. Allen, 1900) ",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,MARMOSINI,"Marmosa mexicana Merriam, 1897 ",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,MARMOSINI,"Marmosa zeledoni Goldman, 1911 ",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,METACHIRINI ,"Metachirus nudicaudatus (Desmarest, 1871) ",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,DIDELPHINI ,"Chironectes minimus (Zimmermann, 1780) ",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,DIDELPHINI ,"Didelphis marsupialis Linnaeus, 1758 ",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,DIDELPHINI ,"Didelphis virginiana Kerr, 1792",,,
DIDELPHIMORPHIA ,NA/ND,DIDELPHIDAE,DIDELPHINAE,DIDELPHINI ,"Philander opossum (Linnaeus, 1758) ",,,
PILOSA ,VERMILINGUA ,MYRMECOPHAGIDAE ,NA/ND,NA/ND,"Myrmecophaga tridactyla Linnaeus, 1758 ",,,
PILOSA ,VERMILINGUA ,MYRMECOPHAGIDAE ,NA/ND,NA/ND,"Tamandua mexicana (Saussure, 1860) ",,,
PILOSA ,VERMILINGUA ,CYCLOPEDIDAE ,NA/ND,NA/ND,"Cyclopes dorsalis (Linnaeus, 1758) ",,,
PILOSA ,FOLIVORA ,MEGALONYCHIDAE ,NA/ND,NA/ND,"Choloepus hoffmanni Peters, 1858 ",,,
PILOSA ,FOLIVORA ,BRADYPODIDAE ,NA/ND,NA/ND,"Bradypus variegatus Schinz, 1825 ",,,
CINGULATA,NA/ND,CLAMIDOPHORIDAE,NA/ND,NA/ND,"Cabassous centralis (Miller, 1899) ",,,
