usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
2439992,"Caluromys derbianus (Waterhouse, 1841)",Caluromys derbianus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Caluromys,Caluromys derbianus,1,44,359,783,5455,2439991,2439992,FALSE,Mammalia,NA,Caluromys derbianus,1
9036942,"Marmosa alstoni (J.A.Allen, 1900)",Marmosa alstoni,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Micoureus,Micoureus alstoni,1,44,359,783,5455,2439888,2439894,TRUE,Mammalia,2439894,Marmosa alstoni,2
2439876,"Marmosa mexicana Merriam, 1897",Marmosa mexicana,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Marmosa,Marmosa mexicana,1,44,359,783,5455,2439860,2439876,FALSE,Mammalia,NA,Marmosa mexicana,3
11909571,"Marmosa zeledoni Goldman, 1911",Marmosa zeledoni,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Marmosa,Marmosa zeledoni,1,44,359,783,5455,2439860,11909571,FALSE,Mammalia,NA,Marmosa zeledoni,4
9686324,"Metachirus nudicaudatus (É.Geoffroy Saint-Hilaire, 1803)",Metachirus nudicaudatus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Metachirus,Metachirus nudicaudatus,1,44,359,783,5455,2439881,9686324,FALSE,Mammalia,NA,Metachirus nudicaudatus,5
5219955,"Chironectes minimus (Zimmermann, 1780)",Chironectes minimus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Chironectes,Chironectes minimus,1,44,359,783,5455,2439977,5219955,FALSE,Mammalia,NA,Chironectes minimus,6
2439920,"Didelphis marsupialis Linnaeus, 1758",Didelphis marsupialis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,1,44,359,783,5455,7932087,2439920,FALSE,Mammalia,NA,Didelphis marsupialis,7
2439923,"Didelphis virginiana Kerr, 1792",Didelphis virginiana,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,1,44,359,783,5455,7932087,2439923,FALSE,Mammalia,NA,Didelphis virginiana,8
5219950,"Philander opossum (Linnaeus, 1758)",Philander opossum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Didelphimorphia,Didelphidae,Philander,Philander opossum,1,44,359,783,5455,5219946,5219950,FALSE,Mammalia,NA,Philander opossum,9
2436346,"Myrmecophaga tridactyla Linnaeus, 1758",Myrmecophaga tridactyla,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,1,44,359,1494,9619,2436345,2436346,FALSE,Mammalia,NA,Myrmecophaga tridactyla,10
2436335,"Tamandua mexicana (Saussure, 1860)",Tamandua mexicana,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,1,44,359,1494,9619,2436334,2436335,FALSE,Mammalia,NA,Tamandua mexicana,11
